Genus	Stem-based age's unknown middle value (Ma)	Stem-based age's median (Ma)	Stem-based age's mean (Ma)	Stem-based age's lower bound (Ma)	Stem-based age's upper bound (Ma)	Crown-based age's unknown middle value (Ma)	Crown-based age's median (Ma)	Crown-based age's mean (Ma)	Crown-based age's lower bound (Ma)	Crown-based age's upper bound (Ma)	Floristic importance value
Acer			64.20	63.10	67.16			63.10	60.47	66.33	0.3854
Ainsliaea		3.04	4.38	0.29	12.46		1.84	2.68	0.12	7.76	0.2750
Akebia		4.04		1.50	7.49		2.40		0.75	4.94	0.7500
Alangium (EBLF clade)		94.41	97.14	69.11	130.73		66.60	67.92	54.47	84.08	0.4545
Alpinia (Asian clade)			33.65	27.00	40.31			28.71	22.44	34.22	0.1765
Asarum (sect. Heterotropa)		12.35		6.93	24.19		6.41		4.78	12.09	0.1795
Aucuba			17.33	9.54	28.78			8.11	4.76	13.16	0.3000
Berchemia	28.89			18.05	40.22	22.15			13.84	30.65	0.2105
Camellia	24.10			23.30	28.70	21.60			16.70	28.00	0.2887
Cardiocrinum	17.75			14.13	21.48	7.32			5.70	8.95	0.5000
Carpinus			17.50	8.10	30.30			11.40	5.10	20.30	0.2424
Castanopsis		52.20		52.20	52.20		35.14		21.71	51.99	0.5690
Celastrus		26.22		24.46	28.17		24.78		22.21	26.99	0.3600
Celtis (temperate clade)		23.60		16.40	32.50		14.20		9.02	20.70	0.7273
Cercidiphyllum		67.78		64.65	70.67			6.52	1.34	13.42	1.0000
Chimonanthus		88.02	88.02	86.30	89.61		52.97	53.74	34.56	76.91	0.3333
Chloranthus		91.36	91.39	89.06	93.68		46.95	47.46	29.39	66.82	0.4615
Cinnamomum (sect. Camphora Clade 1)			51.13	41.89	60.47			22.69	15.51	30.08	0.5208
Cinnamomum (sect. Cinnamomum & sect. Camphora Clade 2)			34.90	27.52	43.30			31.93	24.31	39.41	0.5208
Corylopsis	64.37			51.77	81.97	35.62			22.22	45.97	0.2000
Cyclocarya		57.75		56.53	59.23		16.69		8.42	27.86	1.0000
Damnacanthus	11.61			7.19	17.69	9.58			2.76	14.28	0.2727
Davidia			66.45	60.43	72.15			4.81	3.43	6.34	1.0000
Distylium			34.39	29.99	39.03			5.39	0.82	12.30	0.3333
Elaeagnus (Asian clade)	24.53			18.85	29.97	11.22			7.30	17.10	0.1940
Euptelea	99.42			90.41	109.33	5.46			1.23	10.87	1.0000
Hamamelis	51.20			49.00	54.60	9.70			3.60	18.50	1.0000
Heptapleurum (formerly Schefflera)		74.17	76.31	48.71	102.20		60.80	62.50	39.90	89.19	0.3714
Hovenia	109.87			89.91	131.89	35.91			24.28	48.97	0.6667
Ilex		84.66		76.63	89.80		50.75		43.53	57.63	0.3431
Illicium (Old World clade)		34.74	36.49	16.60	59.31		19.22	20.24	9.12	32.97	0.4074
Kadsura (including 2 Schisandra species)		46.00	48.09	41.20	61.65		33.44	33.88	18.83	49.09	0.5000
